Branch,Month,Discount_Amount,Net_Sales,Orders
ABHA Fran,2024-01,2112.26073,39186.86605,2367
ABHA Fran,2024-02,1881.04328,37639.99766,2431
ABHA Fran,2024-03,1033.91309,29247.82354,1931
ABHA Fran,2024-04,2244.34758,46960.51757,2876
ABHA Fran,2024-05,2026.0867,72394.29784,4274
ABHA Fran,2024-06,2265.2172,83976.51649,4818
ABHA Fran,2024-07,2336.52158,122290.4253,6375
ABHA Fran,2024-08,2346.95632,99622.60172,5389
ABHA Fran,2024-09,1475.6521,56655.99688,3631
ABHA Fran,2024-10,1979.30399,46867.65025,3245
ABHA Fran,2024-11,1453.21722,39002.43254,2688
ABHA Fran,2024-12,1585.65197,34234.34675,2522
ABHA Fran,2025-01,1562.17394,34191.73783,2468
ABHA Fran,2025-02,1880.86947,29588.47787,2383
ABHA Fran,2025-03,979.13038,23460.86879,1619
ABHA Fran,2025-04,1394.78249,45944.34578,3012
ABHA Fran,2025-05,2144.34772,57869.56192,3800
ABHA Fran,2025-06,2226.08689,70014.7796,4617
ABHA Fran,2025-07,3030.43466,115880.8682,6628
ABHA Fran,2025-08,2706.30415,147350.2156,7831
ABHA Fran,2025-09,2286.60861,62973.39153,4309
ABHA Fran,2025-10,1948.52154,52082.78352,3677
AirPort,2024-01,2200.9129,62095.60243,4119
AirPort,2024-02,2907.04307,66763.04111,4468
AirPort,2024-03,1565.26082,46487.7797,3118
AirPort,2024-04,2982.60829,69120.42993,4358
AirPort,2024-05,4837.39051,90388.94786,5824
AirPort,2024-06,3720.86902,97173.25142,5644
AirPort,2024-07,4485.21686,121287.5957,6527
AirPort,2024-08,4156.52113,151901.7214,8101
AirPort,2024-09,4876.52141,126545.3786,7434
AirPort,2024-10,6126.08526,141175.6399,8554
AirPort,2024-11,4345.04276,125683.6408,7230
AirPort,2024-12,6105.91238,118705.3816,7283
AirPort,2025-01,4451.7392,121544.7728,7098
AirPort,2025-02,6395.21687,129211.7289,7509
AirPort,2025-03,3460.86931,95874.77305,5364
AirPort,2025-04,4662.82556,155200.6366,8666
AirPort,2025-05,5082.60816,166943.4604,9021
AirPort,2025-06,4852.60818,145500.422,7916
AirPort,2025-07,5191.65175,152430.9482,8230
AirPort,2025-08,5750.08637,169175.1235,8789
AirPort,2025-09,6685.82553,154336.7774,8930
AirPort,2025-10,6427.47787,135851.6473,7983
Al-azzam mall,2024-01,1667.30443,39074.43069,1952
Al-azzam mall,2024-02,1559.6954,38324.56363,2057
Al-azzam mall,2024-03,793.91299,37911.30081,1931
Al-azzam mall,2024-04,1093.91291,30910.86684,1645
Al-azzam mall,2024-05,1439.13019,38233.60449,1827
Al-azzam mall,2024-06,733.04336,44432.4302,2079
Al-azzam mall,2024-07,826.95644,43202.16942,1923
Al-azzam mall,2024-08,630.43472,35559.99656,1722
Al-azzam mall,2024-09,1018.26082,48373.56052,2409
Al-azzam mall,2024-10,1778.12988,46126.21343,2277
Al-azzam mall,2024-11,1442.17359,46880.43038,2173
Al-azzam mall,2024-12,1457.44331,43217.33518,2036
Al-azzam mall,2025-01,1189.56543,41159.12686,1959
Al-azzam mall,2025-02,1216.52186,37759.99765,1879
Al-azzam mall,2025-03,1165.21737,48598.25647,2296
Al-azzam mall,2025-04,813.69564,23627.17195,1214
Al-azzam mall,2025-05,968.69552,42481.73503,2051
Al-azzam mall,2025-06,432.17388,32415.64938,1559
Al-azzam mall,2025-07,733.39132,39573.56318,1744
Al-azzam mall,2025-08,1241.08689,45447.60661,1905
Al-azzam mall,2025-09,610.00003,38426.52088,1688
Al-azzam mall,2025-10,590.17391,41673.30288,1835
Arrisa -Fran,2024-01,1033.21747,30395.4745,1739
Arrisa -Fran,2024-02,2333.30478,33839.90911,2009
Arrisa -Fran,2024-03,1360.52196,24075.99712,1475
Arrisa -Fran,2024-04,2134.91297,27937.25697,1757
Arrisa -Fran,2024-05,1464.8262,36129.08176,2025
Arrisa -Fran,2024-06,1225.99985,33677.4738,1950
Arrisa -Fran,2024-07,978.60859,16664.86729,979
Arrisa -Fran,2024-08,3081.73855,68700.86217,4789
Arrisa -Fran,2024-09,2562.69559,73722.167,5342
Arrisa -Fran,2024-10,3045.7818,79166.38513,5947
Arrisa -Fran,2024-11,2583.04314,65020.43043,5002
Arrisa -Fran,2024-12,3077.13013,67046.34439,5272
Arrisa -Fran,2025-01,2720.86966,68051.30163,5411
Arrisa -Fran,2025-02,3565.65209,77009.12826,6118
Arrisa -Fran,2025-03,2146.08692,69462.60616,5029
Arrisa -Fran,2025-04,3227.82575,94892.16937,7457
Arrisa -Fran,2025-05,4147.8257,102506.0781,8330
Arrisa -Fran,2025-06,4496.26062,100767.2071,8004
Arrisa -Fran,2025-07,3722.60826,112054.7766,8820
Arrisa -Fran,2025-08,4296.73852,127905.8646,9409
Arrisa -Fran,2025-09,5110.86936,116270.8658,9010
Arrisa -Fran,2025-10,5014.73892,118298.3016,9181
Ber Asker,2024-12,4885.44291,15050.20677,1012
Ber Asker,2025-01,6832.61136,28600.43257,2761
Ber Asker,2025-02,2324.56557,37174.34494,2721
Ber Asker,2025-03,794.78257,28033.90993,1681
Ber Asker,2025-04,878.26072,33395.64908,2346
