Branch,Month,Total_Sales,Discount_Amount,Net_Sales,Orders
Roastery,2024-01-01,38870.60786,1462.6084,32528.68919,1669
Roastery,2024-02-01,38451.88848,1564.73876,32075.7765,1676
Roastery,2024-03-01,45727.21498,2545.21677,37549.55721,1915
Roastery,2024-04-01,74504.08241,3926.08598,61378.02987,2950
Roastery,2024-05-01,62427.91012,2968.91232,51710.38072,2752
Roastery,2024-06-01,99868.8647,4360.86872,83054.3348,4156
Roastery,2024-07-01,111251.2128,4885.21642,92494.11763,4788
Roastery,2024-08-01,115532.5623,3309.56453,97585.2055,4798
Roastery,2024-09-01,77934.56334,4429.56476,63917.38356,3447
Roastery,2024-10-01,76294.39833,3243.99935,63522.07937,3386
Roastery,2024-11-01,64927.24184,3265.04281,53619.29681,2838
Roastery,2024-12-01,62878.0681,3372.86881,51743.64563,2848
Roastery,2025-01-01,64913.95513,3246.95581,53623.47206,2810
Roastery,2025-02-01,63802.65093,3655.65144,52301.73282,2770
Roastery,2025-03-01,106253.3017,8771.303,84766.948,4190
Roastery,2025-04-01,96824.47608,4963.47723,79879.12199,4231
Roastery,2025-05-01,90624.95516,4886.95542,74554.77573,4098
Roastery,2025-06-01,105890.0304,5939.78148,86934.12122,4624
Roastery,2025-07-01,137809.735,6135.08572,114520.5554,5726
Roastery,2025-08-01,133616.8786,6654.12932,110419.34,5411
Wady branche,2024-11-01,87991.60586,322.60866,76233.90274,3024
Wady branche,2024-12-01,103779.891,1087.37391,89297.83154,3206
Wady branche,2025-01-01,62979.97728,2073.47846,52962.16678,1879
Wady branche,2025-02-01,42309.73774,1681.73894,35328.69082,1427
Wady branche,2025-03-01,2193.43475,50.43477,1863.47812,119
Wady branche,2025-04-01,74270.25975,1678.26068,63123.47359,4547
Wady branche,2025-05-01,111108.3021,4296.30405,92879.99105,6724
Wady branche,2025-06-01,130771.7822,6021.43403,108478.5541,7744
Wady branche,2025-07-01,210655.3338,6651.08603,177444.5526,10389
Wady branche,2025-08-01,280288.4068,6301.25992,238286.2009,12219
Ber Asker,2024-12-01,22193.18244,4885.44291,15050.20677,1012
Ber Asker,2025-01-01,39723.11104,6832.61136,28600.43257,2761
Ber Asker,2025-02-01,45075.06493,2324.56557,37174.34494,2721
Ber Asker,2025-03-01,33033.78151,794.78257,28033.90993,1681
Ber Asker,2025-04-01,39283.25992,878.26072,33395.64908,2346
Ber Asker,2025-05-01,37528.43384,950.43468,31806.95303,2233
Ber Asker,2025-06-01,34537.76353,5221.56476,25492.34497,1940
Ber Asker,2025-07-01,0.0,0.0,0.0,8
Ber Asker,2025-08-01,45424.66308,608.913,38978.04353,2225
Markeb,2024-12-01,12912.50818,2596.60842,8970.34736,687
Markeb,2025-01-01,36309.49857,5536.69817,26758.95592,2630
Markeb,2025-02-01,35599.93569,1140.43511,29970.65166,2152
Markeb,2025-03-01,23940.52182,196.52175,20652.82528,1343
Markeb,2025-04-01,28849.78213,1854.78235,23479.7815,1688
Markeb,2025-05-01,28952.04322,493.04341,24752.8248,1786
