Branch,Month,Discount_Amount,Net_Sales,Orders
Roastery,2024-01-01,1462.6084,32528.68919,1669
Roastery,2024-02-01,1564.73876,32075.7765,1676
Roastery,2024-03-01,2545.21677,37549.55721,1915
Roastery,2024-04-01,3926.08598,61378.02987,2950
Roastery,2024-05-01,2968.91232,51710.38072,2752
Roastery,2024-06-01,4360.86872,83054.3348,4156
Roastery,2024-07-01,4885.21642,92494.11763,4788
Roastery,2024-08-01,3309.56453,97585.2055,4798
Roastery,2024-09-01,4429.56476,63917.38356,3447
Roastery,2024-10-01,3243.99935,63522.07937,3386
Roastery,2024-11-01,3265.04281,53619.29681,2838
Roastery,2024-12-01,3372.86881,51743.64563,2848
Roastery,2025-01-01,3246.95581,53623.47206,2810
Roastery,2025-02-01,3655.65144,52301.73282,2770
Roastery,2025-03-01,8771.303,84766.948,4190
Roastery,2025-04-01,4963.47723,79879.12199,4231
Roastery,2025-05-01,4886.95542,74554.77573,4098
Roastery,2025-06-01,5939.78148,86934.12122,4624
Roastery,2025-07-01,6135.08572,114520.5554,5726
Roastery,2025-08-01,6654.12932,110419.34,5411
Roastery,2025-09-01,8085.3034,74928.38656,4051
Wady branche,2024-11-01,322.60866,76233.90274,3024
Wady branche,2024-12-01,1087.37391,89297.83154,3206
Wady branche,2025-01-01,2073.47846,52962.16678,1879
Wady branche,2025-02-01,1681.73894,35328.69082,1427
Wady branche,2025-03-01,50.43477,1863.47812,119
Wady branche,2025-04-01,1678.26068,63123.47359,4547
Wady branche,2025-05-01,4296.30405,92879.99105,6724
Wady branche,2025-06-01,6021.43403,108478.5541,7744
Wady branche,2025-07-01,6651.08603,177444.5526,10389
Wady branche,2025-08-01,6301.25992,238286.2009,12219
Wady branche,2025-09-01,6872.08624,181817.4673,10541
Ber Asker,2024-12-01,4885.44291,15050.20677,1012
Ber Asker,2025-01-01,6832.61136,28600.43257,2761
Ber Asker,2025-02-01,2324.56557,37174.34494,2721
Ber Asker,2025-03-01,794.78257,28033.90993,1681
Ber Asker,2025-04-01,878.26072,33395.64908,2346
Ber Asker,2025-05-01,950.43468,31806.95303,2233
Ber Asker,2025-06-01,5221.56476,25492.34497,1940
Ber Asker,2025-07-01,0,0,8
Ber Asker,2025-08-01,608.913,38978.04353,2225
Ber Asker,2025-09-01,1534.69548,60735.73895,3920
Markeb,2024-12-01,2596.60842,8970.34736,687
Markeb,2025-01-01,5536.69817,26758.95592,2630
Markeb,2025-02-01,1140.43511,29970.65166,2152
Markeb,2025-03-01,196.52175,20652.82528,1343
Markeb,2025-04-01,1854.78235,23479.7815,1688
Markeb,2025-05-01,493.04341,24752.8248,1786
Markeb,2025-06-01,2603.43485,16515.47725,1243
Markeb,2025-07-01,0,0,1
Markeb,2025-08-01,1002.39117,32762.82578,2145
Markeb,2025-09-01,3789.04321,87662.2581,5697
HOBONA Fran,2024-12-01,226.90434,4737.44307,271
HOBONA Fran,2025-01-01,5813.6521,83551.55919,5166
HOBONA Fran,2025-02-01,5334.78227,81147.8208,5081
HOBONA Fran,2025-03-01,5183.47766,92540.86197,5446
HOBONA Fran,2025-04-01,6677.39061,101057.3826,6571
HOBONA Fran,2025-05-01,7370.43414,105777.3811,6641
HOBONA Fran,2025-06-01,7981.69477,119500.0327,7283
HOBONA Fran,2025-07-01,6897.39062,143841.7304,7923
HOBONA Fran,2025-08-01,7277.60788,149656.2963,7777
HOBONA Fran,2025-09-01,6457.99933,115073.3,6994
Fran GIWILLA,2024-12-01,91.40868,2780.76504,202
Fran GIWILLA,2025-01-01,2023.04342,45636.95468,3828
Fran GIWILLA,2025-02-01,1926.95638,43823.47702,3730
Fran GIWILLA,2025-03-01,1363.99989,36919.47675,3001
Fran GIWILLA,2025-04-01,1919.99976,46575.65025,4000
Fran GIWILLA,2025-05-01,1983.91284,47044.78015,4071
Fran GIWILLA,2025-06-01,2694.95624,54279.82153,4353
Fran GIWILLA,2025-07-01,1987.82593,53554.78047,4072
Fran GIWILLA,2025-08-01,2191.08672,78465.43182,5177
Fran GIWILLA,2025-09-01,2572.78236,71027.21535,4910
Jazan Fran,2024-12-01,38.36522,1626.85208,135
Jazan Fran,2025-01-01,926.95648,45871.30253,3473
Jazan Fran,2025-02-01,785.21737,33498.25997,2754
Jazan Fran,2025-03-01,389.56513,13991.30275,1094
Jazan Fran,2025-04-01,753.04339,32150.4336,2628
Jazan Fran,2025-05-01,804.7825,36748.25975,2995
Jazan Fran,2025-06-01,726.08692,32933.91196,2739
Jazan Fran,2025-07-01,958.26079,38727.82613,3049
Jazan Fran,2025-08-01,1085.21731,41794.78279,3219
Jazan Fran,2025-09-01,840.43472,33667.39132,2641
ABHA Fran,2024-12-01,59.33912,1590.22613,132
ABHA Fran,2025-01-01,1562.17394,34191.73783,2468
ABHA Fran,2025-02-01,1880.86947,29588.47787,2383
ABHA Fran,2025-03-01,979.13038,23460.86879,1619
ABHA Fran,2025-04-01,1394.78249,45944.34578,3012
ABHA Fran,2025-05-01,2144.34772,57869.56192,3800
ABHA Fran,2025-06-01,2226.08689,70014.7796,4617
ABHA Fran,2025-07-01,3030.43466,115880.8682,6628
ABHA Fran,2025-08-01,2706.30415,147350.2156,7831
ABHA Fran,2025-09-01,2286.60861,62973.39153,4309
RABEGH Fran,2024-12-01,137.58259,2245.89564,182
RABEGH Fran,2025-01-01,6059.13024,90266.08724,7572
RABEGH Fran,2025-02-01,6166.95608,84616.52287,7158
RABEGH Fran,2025-03-01,4259.99948,68033.91096,5081
RABEGH Fran,2025-04-01,5965.21659,98298.25979,8147
RABEGH Fran,2025-05-01,6277.82524,101457.8266,8614
RABEGH Fran,2025-06-01,6229.60792,93320.82722,7854
RABEGH Fran,2025-07-01,5352.7384,93198.91761,7700
RABEGH Fran,2025-08-01,5272.26015,89316.95998,7191
RABEGH Fran,2025-09-01,5364.60822,91752.78731,7529
SHARORA Fran,2024-12-01,105.63477,3886.53899,261
SHARORA Fran,2025-01-01,3332.60865,75252.60509,5132
SHARORA Fran,2025-02-01,3589.99988,79016.08452,5675
SHARORA Fran,2025-03-01,2292.17384,62311.29894,3996
SHARORA Fran,2025-04-01,3070.43455,86310.42736,5944
SHARORA Fran,2025-05-01,3139.56498,87645.64476,6187
SHARORA Fran,2025-06-01,3297.52154,81458.12461,5506
SHARORA Fran,2025-07-01,2430.69543,75373.64789,4988
SHARORA Fran,2025-08-01,2776.43448,76015.7357,5239
SHARORA Fran,2025-09-01,3126.43456,77114.43334,5484
Turbaa Fran,2025-01-01,4930.8696,52156.94942,2859
Turbaa Fran,2025-02-01,2296.08682,40441.29892,2281
Turbaa Fran,2025-03-01,359.13039,42353.03805,2635
Turbaa Fran,2025-04-01,841.73914,38385.21262,2323
Turbaa Fran,2025-05-01,881.30428,33076.08318,2079
Turbaa Fran,2025-06-01,412.1739,33011.3009,2110
Turbaa Fran,2025-07-01,357.3913,31066.43342,1931
Turbaa Fran,2025-08-01,243.04343,28409.12962,1701
Turbaa Fran,2025-09-01,457.82611,21180.43397,1381
HAFERAL-BATEN Fran,2024-12-01,0,700.86947,48
HAFERAL-BATEN Fran,2025-01-01,410.50436,12213.87976,1185
HAFERAL-BATEN Fran,2025-02-01,3836.26937,19209.24424,1608
HAFERAL-BATEN Fran,2025-03-01,370.43474,12197.39068,866
HAFERAL-BATEN Fran,2025-04-01,318.26084,12173.04282,960
HAFERAL-BATEN Fran,2025-05-01,240.86952,11297.39057,850
HAFERAL-BATEN Fran,2025-06-01,167.86958,11532.78215,960
HAFERAL-BATEN Fran,2025-07-01,250.43477,10675.65191,877
HAFERAL-BATEN Fran,2025-08-01,316.73912,12115.43457,909
HAFERAL-BATEN Fran,2025-09-01,237.13044,11382.86971,906
Arrisa -Fran,2024-12-01,159.42607,3057.09553,256
Arrisa -Fran,2025-01-01,2720.86966,68051.30163,5411
Arrisa -Fran,2025-02-01,3565.65209,77009.12826,6118
Arrisa -Fran,2025-03-01,2146.08692,69462.60616,5029
Arrisa -Fran,2025-04-01,3227.82575,94892.16937,7457
Arrisa -Fran,2025-05-01,4147.8257,102506.0781,8330
Arrisa -Fran,2025-06-01,4496.26062,100767.2071,8004
Arrisa -Fran,2025-07-01,3722.60826,112054.7766,8820
Arrisa -Fran,2025-08-01,4296.73852,127905.8646,9409
Arrisa -Fran,2025-09-01,5110.86936,116270.8658,9010
kamisMshit Fran,2024-12-01,11.3913,1529.4782,132
kamisMshit Fran,2025-01-01,609.13047,26624.78139,2297
kamisMshit Fran,2025-02-01,497.3913,27701.73733,2346
kamisMshit Fran,2025-03-01,302.60869,19115.65122,1430
kamisMshit Fran,2025-04-01,446.95646,29766.08498,2456
kamisMshit Fran,2025-05-01,537.82603,33668.25864,2650
kamisMshit Fran,2025-06-01,771.69564,40659.60524,2950
kamisMshit Fran,2025-07-01,824.34772,73481.73729,4688
kamisMshit Fran,2025-08-01,961.95645,81104.12992,4871
kamisMshit Fran,2025-09-01,1500.7825,48641.82637,3479
Makkah-ZAIDI Fran,2024-12-01,0,1580,115
Makkah-ZAIDI Fran,2025-01-01,602.78267,31533.73847,2499
Makkah-ZAIDI Fran,2025-02-01,947.5652,27641.99958,2244
Makkah-ZAIDI Fran,2025-03-01,325.21738,24654.78211,1807
Makkah-ZAIDI Fran,2025-04-01,621.30432,26933.47712,2072
Makkah-ZAIDI Fran,2025-05-01,502.86953,31378.86767,2428
Makkah-ZAIDI Fran,2025-06-01,576.78258,28943.21578,2251
Makkah-ZAIDI Fran,2025-07-01,387.82609,27745.39064,2106
Makkah-ZAIDI Fran,2025-08-01,701.69562,31382.82612,2303
Makkah-ZAIDI Fran,2025-09-01,585.04346,23613.21758,1997
Khobash Fran,2024-12-01,73.04346,1990.43462,115
Khobash Fran,2025-01-01,349.56532,43474.77889,2660
Khobash Fran,2025-02-01,393.04353,39399.12778,2480
Khobash Fran,2025-03-01,270.43484,37539.12793,2321
Khobash Fran,2025-04-01,430.43479,53170.42951,3244
Khobash Fran,2025-05-01,465.65216,57097.81982,3506
Khobash Fran,2025-06-01,728.78257,54812.95077,3226
Khobash Fran,2025-07-01,580.43475,60055.21279,3488
Khobash Fran,2025-08-01,621.08687,71704.12529,4092
Khobash Fran,2025-09-01,369.13045,60036.95198,3604
Tbouk-alBowady Fran,2024-12-01,109.56521,4515.65183,303
Tbouk-alBowady Fran,2025-01-01,1626.52198,77055.21073,5439
Tbouk-alBowady Fran,2025-02-01,2424.1739,72339.95092,5318
Tbouk-alBowady Fran,2025-03-01,833.04342,70564.3401,4806
Tbouk-alBowady Fran,2025-04-01,1003.47816,79619.99048,5967
Tbouk-alBowady Fran,2025-05-01,1952.17367,89649.55288,6463
Tbouk-alBowady Fran,2025-06-01,1605.21714,84066.94483,6129
Tbouk-alBowady Fran,2025-07-01,1130.08678,78629.7312,5878
Tbouk-alBowady Fran,2025-08-01,1529.43451,80976.64485,5791
Tbouk-alBowady Fran,2025-09-01,1372.52159,69923.99476,5168
Tabouk-Sultana Fran,2024-12-01,132.46954,1740.57379,114
Tabouk-Sultana Fran,2025-01-01,1877.82674,63134.34294,4289
Tabouk-Sultana Fran,2025-02-01,3406.43475,56973.99646,3997
Tabouk-Sultana Fran,2025-03-01,1036.26089,51457.6472,3156
Tabouk-Sultana Fran,2025-04-01,1012.1738,63109.55885,4610
Tabouk-Sultana Fran,2025-05-01,2757.82582,69979.12144,5124
Tabouk-Sultana Fran,2025-06-01,1736.26088,62176.99173,4415
Tabouk-Sultana Fran,2025-07-01,1474.21739,61486.82028,4497
Tabouk-Sultana Fran,2025-08-01,1921.06506,64262.40847,4689
Tabouk-Sultana Fran,2025-09-01,1942.95645,66054.43024,4716
Yadma Fran,2025-03-01,0,878.26086,60
Yadma Fran,2025-04-01,1183.47813,100128.6849,4960
Yadma Fran,2025-05-01,2465.21717,92855.64073,4811
Yadma Fran,2025-06-01,2369.56503,82363.46842,3950
Yadma Fran,2025-07-01,1552.56503,77529.16782,3470
Yadma Fran,2025-08-01,1408.08674,78671.03757,3772
Yadma Fran,2025-09-01,1550.78249,55591.82224,3147
Rejla fran,2025-05-01,1308.69555,48935.64862,3159
Rejla fran,2025-06-01,3467.6954,111292.2978,6640
Rejla fran,2025-07-01,2195.08678,128146.9971,7049
Rejla fran,2025-08-01,3109.26045,141742.91,7103
Rejla fran,2025-09-01,3321.04318,122698.0851,6879
kamis aldiafa fran,2025-05-01,749.56507,3414.7823,251
kamis aldiafa fran,2025-06-01,3147.52128,44148.995,3131
kamis aldiafa fran,2025-07-01,2518.91263,69433.95548,4207
kamis aldiafa fran,2025-08-01,2330.0173,58796.06822,3567
kamis aldiafa fran,2025-09-01,5686.78269,52932.34699,3429
Taslal,2025-08-01,0,13.04348,1
Taslal,2025-09-01,119.73912,6568.95633,451
magara,2024-01-01,1974.30418,86162.20992,4352
magara,2024-02-01,2558.47808,94435.17124,4789
magara,2024-03-01,3915.95621,75931.86623,4221
magara,2024-04-01,4731.30381,128248.6871,6313
magara,2024-05-01,5135.65148,139846.294,7119
magara,2024-06-01,3966.95611,172654.8137,8346
magara,2024-07-01,10194.999,231960.1965,10144
magara,2024-08-01,5437.39062,264506.0598,11237
magara,2024-09-01,5636.69527,159815.29,7974
magara,2024-10-01,6272.86792,156502.7709,7821
magara,2024-11-01,4863.30357,147392.3352,7088
magara,2024-12-01,6598.52101,139118.8594,6955
magara,2025-01-01,5483.47867,153052.162,7135
magara,2025-02-01,5073.04341,164331.2914,7294
magara,2025-03-01,9607.8252,170446.0723,7642
magara,2025-04-01,6074.56477,212479.112,9016
magara,2025-05-01,7371.30352,221913.0213,9265
magara,2025-06-01,6768.65158,253666.1099,10042
magara,2025-07-01,6498.73861,325616.8973,12392
magara,2025-08-01,5935.91243,284091.3798,11485
magara,2025-09-01,6220.12996,189527.6888,8519
jarir,2024-01-01,1321.913,35294.60506,2186
jarir,2024-02-01,1623.21728,36833.65079,2419
jarir,2024-03-01,1094.65201,32857.52022,2185
jarir,2024-04-01,1809.56497,39512.56272,2722
jarir,2024-05-01,3053.91247,58080.29978,4052
jarir,2024-06-01,2575.65181,51029.99554,2938
jarir,2024-07-01,4532.17321,59164.5592,3391
